Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2025-03-25,97.22,98.17,95.08,96.5,78015300.0,96.75,90.96,87.39,3.09,5.11,6.61,4.68,0.72,-3.35,-5.11,-1.85,112164700.0,116748700.0,105547400.0,92.709,89.906,88.045,-0.0025873235649509123,0
2025-03-26,96.29,97.3,90.82,92.28,81428600.0,96.5,96.75,90.96,6.48,3.09,5.11,6.61,4.01,0.72,-3.35,-5.11,78015300.0,112164700.0,116748700.0,94.605,91.837,89.39,-0.04471558826763971,0
2025-03-27,91.015,93.65,89.67,90.09,82823000.0,92.28,96.5,96.75,3.98,6.48,3.09,5.11,0.925,4.01,0.72,-3.35,81428600.0,78015300.0,112164700.0,93.442,91.967,89.85,-0.024018290063407447,0
2025-03-28,89.34,89.38,84.1,85.85,91091700.0,90.09,92.28,96.5,5.28,3.98,6.48,3.09,3.49,0.925,4.01,0.72,82823000.0,81428600.0,78015300.0,91.766,91.417,89.888,-0.04820756044418742,0
2025-03-31,80.0,84.65,78.75,84.4,108092900.0,85.85,90.09,92.28,5.9,5.28,3.98,6.48,-4.4,3.49,0.925,4.01,91091700.0,82823000.0,81428600.0,88.808,89.787,89.246,-0.017034149888660435,0
2025-04-01,83.89,85.28,81.82,84.68,78980700.0,84.4,85.85,90.09,3.46,5.9,5.28,3.98,-0.79,-4.4,3.49,0.925,108092900.0,91091700.0,82823000.0,86.604,88.209,88.475,0.0033120301894900305,1
2025-04-02,82.4,88.405,82.3,87.45,96563100.0,84.68,84.4,85.85,6.105,3.46,5.9,5.28,-5.05,-0.79,-4.4,3.49,78980700.0,108092900.0,91091700.0,85.642,87.175,87.871,0.032187716696901805,1
2025-04-03,81.25,85.68,81.01,83.6,93878200.0,87.45,84.68,84.4,4.67,6.105,3.46,5.9,-2.35,-5.05,-0.79,-4.4,96563100.0,78980700.0,108092900.0,86.546,87.256,87.804,-0.04502366472892139,0
2025-04-04,80.07,80.98,71.93,74.01,147323200.0,83.6,87.45,84.68,9.05,4.67,6.105,3.46,6.06,-2.35,-5.05,-0.79,93878200.0,96563100.0,78980700.0,85.073,86.185,87.135,-0.1218432537650624,0
2025-04-07,66.65,81.8,66.12,77.84,169083700.0,74.01,83.6,87.45,15.68,9.05,4.67,6.105,-11.19,6.06,-2.35,-5.05,147323200.0,93878200.0,96563100.0,79.542,82.619,85.047,0.050455142757669116,1
